Submit_ID,Brand_Reg,Model_No,SoldIn,screensize,Screen_Tech,Avg_mode_power,Energy,Availability Status,Star2,Screen_Size2
150668,ALTIUS,AT32HDW-BCF,"Australia,Fiji,New Zealand",80.054,LCD,23.5,90,Available,6,80
150667,KODAK,KD32WOS2,"Australia,Fiji,New Zealand",80.054,LCD,23.5,90,Available,6,80
150666,ALTIUS,AT24HDW-BCF,"Australia,Fiji,New Zealand",59.774,LCD,15.1,66,Available,6,60
150656,LG,32LN340CBSD,"Australia,New Zealand",80.043,LCD (LED),33,123,Available,5,80
150648,POLAROID,PL55M4G11,"Australia,Fiji,New Zealand",138.412,LCD,68.98,254,Available,6,138
150642,LINSAR,LSK43WSFW,"Australia,Fiji,New Zealand",107.956,LCD,44.6,172,Available,6,108
150641,VEON,VN32ID70,New Zealand,80.054,LCD (LED),31.78,118,Available,5,80
150632,MONSTER,MT32HDW-LT22,"Australia,Fiji,New Zealand",80.054,LCD,23.5,90,Available,6,80
150615,MONSTER,MT24HDW-LT22,"Australia,Fiji,New Zealand",59.774,LCD (LED),15.1,66,Available,6,60
150585,KOGAN,KAQLED50XQ98JSTD,"Australia,Fiji,New Zealand",125.638,LCD (LED),104,382,Available,3.5,126
150560,AKAI,AK7522S7TZN,"Australia,Fiji,New Zealand",189.219,LCD,108.1,480,Available,6,189
150555,TEAC,LEV24A423,Australia,59.824,LCD (LED),22.2,83,Available,5,60
150544,LINSAR,LS55UHDZEN,"Australia,Fiji,New Zealand",138.783,LCD,68.5,272,Available,6,139
150543,LINSAR,LS50UHDZEN,"Australia,Fiji,New Zealand",125.727,LCD,56.7,225,Available,6,126
150537,SONY,XR-65A80L,"Australia,New Zealand",163.878,OLED,121.1,451,Available,5,164
150534,SONY,XR-55A80L,"Australia,New Zealand",138.798,OLED,103.7,387,Available,4,139
150505,AKAI,AK2423S7WOS,"Australia,Fiji,New Zealand",59.774,LCD (LED),15.1,60,Available,6,60
150503,DGTEC,DG65UHDOS,"Australia,Fiji,New Zealand",163.896,LCD (LED),95.274,367,Available,6,164
150481,POLAROID,PL3221HDC,"Australia,Fiji,New Zealand",80.043,LCD,27.1,102,Available,6,80
150479,ENGLAON,"LED24X70, LED24X90",Australia,61.928,LCD (LED),25.84,102,Available,4.5,62
150478,ENGLAON,LED24M30,Australia,60.542,LCD (LED),29.05,108,Available,4,61
150477,KOGAN,KALED65XU9220STF,"Australia,Fiji,New Zealand",163.829,LCD (LED),110,404,Available,5.5,164
150476,KOGAN,KAQLED55XQ98JSTD,"Australia,Fiji,New Zealand",138.711,LCD (LED),92,339,Available,5,139
150475,KOGAN,KAQLED75XQ98JSTD,"Australia,Fiji,New Zealand",189.306,LCD (LED),182,667,Available,4.5,189
150474,KOGAN,KAQLED65XQ98JSTD,"Australia,Fiji,New Zealand",163.829,LCD (LED),158,579,Available,4,164
150434,KOGAN,KALED50RN9220STD,"Australia,Fiji,New Zealand",125.638,LCD (LED),75,277,Available,5,126
150366,KODAK,KD40WOS2,"Australia,Fiji,New Zealand",100.217,LCD,39.9,150,Available,6,100
150365,SONY,KD-65X80L,"Australia,New Zealand",163.878,LCD (LED),147.6,544,Available,4,164
150364,SONY,KD-55X80L,"Australia,New Zealand",138.798,LCD (LED),126.2,467,Available,3.5,139
150329,TEAC,LED*2422DT,"Fiji,New Zealand",59.809,LCD (LED),19.6,90,Available,4.5,60
150327,JVC,LT-55NQ7105A11,Australia,138.783,LCD,72.4,330,Available,5,139
150326,AKAI,AK6522S7TZN,"Australia,Fiji,New Zealand",163.878,LCD,96.3,370,Available,6,164
150300,EKO,K55USW,"Australia,New Zealand",138.783,LCD (LED),82.938,323,Available,5,139
150298,BAUHN,ATV43UHDT-0123,"Australia,Fiji,New Zealand",107.987,LCD (LED),45.5,170,Available,6,108
150270,KOGAN,KAQLED85XQ98JSTD,"Australia,Fiji,New Zealand",214.783,LCD (LED),266,974,Available,4,215
150268,AKAI,AK4022S7WOS,"Australia,Fiji,New Zealand",100.217,LCD,39.9,150,Available,6,100
150263,LINSAR,LS85UHDZEN,"Australia,Fiji,New Zealand",214.783,LCD,159,610,Available,6,215
150216,BAUHN,ATV60UHDW-1122,"Australia,Fiji,New Zealand",152.444,LCD,80.7,296,Available,6,152
150165,KOGAN,KALED70TX9520SKA,"Australia,Fiji,New Zealand",176.539,LCD (LED),144.2,580,Available,4.5,177
150155,JVC,LT-32N3135A,Australia,80.039,LCD (LED),24.687,110,Available,5.5,80
150136,VEON,VN50ID7022,New Zealand,125.736,LCD (LED),82.7,345,Available,4,126
150091,JVC,LT-50NQ7115A11,Australia,125.093,LCD,60.73,253,Available,5,125
150089,JVC,AV-HQ507115A11,Australia,126.112,LCD,101.98,374,Available,3.5,126
150017,KOGAN,KALED58TU9420SKA,"Australia,Fiji,New Zealand",146.092,LCD (LED),106.2,410,Available,4.5,146
149933,EKO,K400DVD,"Australia,Fiji,New Zealand",100.332,LCD,47.02,175,Available,5,100
149842,EKO,K55USW,"Australia,New Zealand",138.783,LCD (LED),84.048,324,Available,5,139
149841,JVC,LT-75N7125A11,Australia,188.424,LCD,221.6,811,Available,3.5,188
149839,EKO,K700USG,Australia,176.538,LCD,189.9,695,Available,3.5,177
149838,EKO,K70USW,Australia,176.538,LCD,171.7,630,Available,4,177
149834,EKO,K40FSW,Australia,100.332,LCD,40.38,151,Available,6,100
149832,LINSAR,LS65UHDZEN,"Australia,Fiji,New Zealand",163.878,LCD,96.3,360,Available,6,164
149831,BLAUPUNKT,BP750USG9700,Australia,189.34,LCD,259.3,949,Available,3,189
149830,EKO,K750USG,Australia,189.34,LCD,259.3,949,Available,3,189
149824,LINSAR,LS75UHDZEN,"Australia,Fiji,New Zealand",189.219,LCD,108.1,480,Available,6,189
149776,JVC,JVG518622Q,New Zealand,217.24,LCD (LED),237.5,980,Available,4,217
149774,JVC,JVG3B7522Q,New Zealand,189.344,LCD (LED),175.4,650,Available,4.5,189
149770,JVC,JVG3B6522Q,New Zealand,163.829,LCD,114.8,460,Available,5,164
149766,JVC,JVG3B5522Q,New Zealand,138.526,LCD (LED),73.9,300,Available,5.5,139
149762,JVC,JVG3B5022Q,New Zealand,125.812,LCD (LED),74.7,318,Available,4.5,126
149731,EKO,K40FSW,"Australia,Fiji,New Zealand",100.332,LCD,40.38,151,Available,6,100
149697,TCL,58P635,"Australia,Fiji,New Zealand",146.039,LCD (LED),56.1,251,Available,6,146
149667,KOGAN,KALED32RH9510STA,"Australia,Fiji,New Zealand",79.967,LCD (LED),28,104,Available,6,80
149665,KOGAN,KALED75XU9420STA,"Australia,Fiji,New Zealand",189.306,LCD (LED),133,488,Available,6,189
149623,LINSAR,LSK32WSFW,"Australia,Fiji,New Zealand",80.038,LCD,28.2,105,Available,6,80
149585,EKO,K43FSG11,Australia,107.863,LCD,47.76,176,Available,5.5,108
149580,BLAUPUNKT,BP430FSG9700,Australia,107.863,LCD,47.76,176,Available,5.5,108
149571,ILUMA,"ILU-SMARTTV32-DVD, VK3201D, VK3202D; VK3203D, VK3204D, VK3205D","Australia,New Zealand",80.376,LCD,32.18,119,Available,5,80
149553,EKO,K240HSG,Australia,59.814,LCD (LED),25,105,Available,4,60
149533,BLAUPUNKT,BP240HSG9700,Australia,59.814,LCD (LED),25,105,Available,4,60
149504,BAUHN,ATV60UHDW-1023,Australia,152.444,LCD,80.7,296,Available,6,152
149482,LINSAR,LSK50WSFW,New Zealand,125.638,LCD,53.8,225,Available,6,126
149456,ILUMA,"ILU-SMARTTV24-DVD, VK2401D, VK2402D, VK2403D, VK2404D, VK2405D","Australia,New Zealand",60.493,LCD,30.28,112,Available,3.5,60
149443,KONIC,KKD43SG396A,New Zealand,107.953,LCD (LED),46.6632,181,Available,5.5,108
